dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
2000-12-01,-3.761000000000001,0.3670000000000001,Chicago,United States,42.59N,87.27W
2001-12-01,5.401,0.317,Chicago,United States,42.59N,87.27W
2002-12-01,2.835,0.48,Chicago,United States,42.59N,87.27W
2003-12-01,4.154,0.312,Chicago,United States,42.59N,87.27W
2004-12-01,2.157,0.242,Chicago,United States,42.59N,87.27W
2005-12-01,-0.1469999999999998,0.177,Chicago,United States,42.59N,87.27W
2006-12-01,5.132000000000001,0.162,Chicago,United States,42.59N,87.27W
2007-12-01,1.526,0.266,Chicago,United States,42.59N,87.27W
2008-12-01,-0.6640000000000001,0.374,Chicago,United States,42.59N,87.27W
2009-12-01,1.5630000000000002,0.348,Chicago,United States,42.59N,87.27W
2010-12-01,-0.07099999999999995,0.326,Chicago,United States,42.59N,87.27W
2011-12-01,5.327000000000001,0.483,Chicago,United States,42.59N,87.27W
2012-12-01,5.5920000000000005,0.537,Chicago,United States,42.59N,87.27W
