dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
2000-12-01,-3.3560000000000003,0.393,New York,United States,40.99N,74.56W
2001-12-01,3.4750000000000005,0.321,New York,United States,40.99N,74.56W
2002-12-01,-0.953,0.297,New York,United States,40.99N,74.56W
2003-12-01,0.3790000000000001,0.255,New York,United States,40.99N,74.56W
2004-12-01,-0.014000000000000012,0.15,New York,United States,40.99N,74.56W
2005-12-01,-1.757,0.292,New York,United States,40.99N,74.56W
2006-12-01,3.8610000000000007,0.281,New York,United States,40.99N,74.56W
2007-12-01,-0.09399999999999996,0.248,New York,United States,40.99N,74.56W
2008-12-01,0.3270000000000001,0.337,New York,United States,40.99N,74.56W
2009-12-01,-0.6239999999999999,0.228,New York,United States,40.99N,74.56W
2010-12-01,-2.165,0.436,New York,United States,40.99N,74.56W
2011-12-01,2.987,0.466,New York,United States,40.99N,74.56W
2012-12-01,2.5860000000000003,0.257,New York,United States,40.99N,74.56W
