dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1750-07-01,24.203000000000003,1.086,New York,United States,40.99N,74.56W
1775-07-01,22.648000000000003,1.655,New York,United States,40.99N,74.56W
1800-07-01,23.296999999999997,2.1790000000000003,New York,United States,40.99N,74.56W
1825-07-01,24.576,3.173,New York,United States,40.99N,74.56W
1850-07-01,22.421,0.736,New York,United States,40.99N,74.56W
1875-07-01,21.869,0.601,New York,United States,40.99N,74.56W
1900-07-01,23.409,0.515,New York,United States,40.99N,74.56W
1925-07-01,21.223000000000003,0.198,New York,United States,40.99N,74.56W
1950-07-01,21.613000000000003,0.133,New York,United States,40.99N,74.56W
1975-07-01,22.781,0.426,New York,United States,40.99N,74.56W
2000-07-01,20.726999999999997,0.407,New York,United States,40.99N,74.56W
2013-07-01,24.721999999999998,0.279,New York,United States,40.99N,74.56W
